Query execution time,CPU load,Memory usage,#Results,HTTP requests
Query 1 - 10 persons - probability 0.001
0.162,8.41,65.27,10,10
0.182,8.54,66.43,10,10
0.247,9.43,66.11,10,10
Query 1 - 10 persons - probability 0.01
0.180,9.67,65.78,10,10
0.190,13.36,66.54,10,10
0.158,12.34,66.14,10,10
Query 1 - 10 persons - probability 0.016
0.150,10.35,66.41,10,10
0.155,12.58,66.82,10,10
0.156,8.81,66.74,10,10
Query 1 - 100 persons - probability 0.001
0.856,11.62,104.64,100,100
0.955,11.04,103.28,100,100
0.954,10.24,104.57,100,100
Query 1 - 100 persons - probability 0.01
0.851,11.91,104.45,100,100
0.940,12.25,104.86,100,100
0.890,12.08,103.83,100,100
Query 1 - 100 persons - probability 0.016
0.799,12.20,103.85,100,100
0.793,11.56,104.01,100,100
1.084,10.78,104.34,100,100
Query 1 - 500 persons - probability 0.001
4.287,8.70,259.97,500,500
3.840,10.17,260.02,500,500
3.861,10.52,261.75,500,500
Query 1 - 500 persons - probability 0.01
3.794,10.92,260.15,500,500
3.677,11.26,260.42,500,500
4.092,10.21,257.68,500,500
Query 1 - 500 persons - probability 0.016
4.149,9.70,259.69,500,500
4.063,9.28,260.45,500,500
3.953,11.11,258.44,500,500
Query 1 - 1000 persons - probability 0.001
10.400,10.95,402.88,1000,1000
10.113,10.35,433.31,1000,1000
9.149,11.23,401.66,1000,1000
Query 1 - 1000 persons - probability 0.01
8.755,11.62,386.07,1000,1000
8.328,10.72,420.70,1000,1000
8.304,11.15,422.11,1000,1000
Query 1 - 1000 persons - probability 0.016
9.102,10.28,421.69,1000,1000
9.190,11.30,404.76,1000,1000
8.803,11.07,384.52,1000,1000
Query 1 - 2000 persons - probability 0.001
22.251,11.67,791.52,2000,2000
23.229,11.75,777.50,2000,2000
23.085,11.24,786.86,2000,2000
Query 1 - 2000 persons - probability 0.01
23.793,11.56,782.16,2000,2000
25.697,11.70,813.85,2000,2000
27.366,10.88,789.04,2000,2000
Query 1 - 2000 persons - probability 0.016
27.555,11.34,820.85,2000,2000
26.738,10.93,794.59,2000,2000
30.482,10.48,802.95,2000,2000
Query 1 - 3500 persons - probability 0.001
62.107,11.36,1253.09,3500,3500
59.875,11.45,1204.91,3500,3500
60.057,11.38,1367.09,3500,3500
Query 1 - 3500 persons - probability 0.01
60.214,11.55,1212.43,3500,3500
53.486,11.56,1371.03,3500,3500
53.695,11.79,1326.51,3500,3500
Query 1 - 3500 persons - probability 0.016
55.073,11.72,1373.79,3500,3500
53.213,11.79,1273.28,3500,3500
55.323,11.66,1375.04,3500,3500
Query 2 - 10 persons - probability 0.001
0.044,17.22,62.00,0,0
0.043,17.90,62.34,0,0
0.039,14.69,62.45,0,0
Query 2 - 10 persons - probability 0.01
0.043,13.35,62.17,0,0
0.042,13.35,62.31,0,0
0.041,9.52,62.41,0,0
Query 2 - 10 persons - probability 0.016
0.119,12.92,64.20,0,1
0.110,14.08,64.30,0,1
0.102,13.35,64.19,0,1
Query 2 - 100 persons - probability 0.001
0.164,11.89,65.25,0,3
0.167,10.49,65.22,0,3
0.166,14.00,64.59,0,3
Query 2 - 100 persons - probability 0.01
0.108,12.50,62.52,0,0
0.102,13.35,62.36,0,0
0.106,10.88,62.16,0,0
Query 2 - 100 persons - probability 0.016
0.177,12.08,67.45,0,5
0.181,11.81,67.84,0,5
0.174,13.43,68.01,0,5
Query 2 - 500 persons - probability 0.001
0.557,13.95,73.43,1,6
0.455,12.86,73.69,1,6
0.460,11.85,73.54,1,6
Query 2 - 500 persons - probability 0.01
0.610,12.46,77.17,1,14
0.600,14.93,76.77,1,14
0.545,12.55,77.36,1,14
Query 2 - 500 persons - probability 0.016
0.561,11.83,79.34,1,16
0.555,15.08,78.52,1,16
0.691,12.97,77.87,1,16
Query 2 - 1000 persons - probability 0.001
0.921,13.15,78.55,4,11
0.893,12.46,79.04,4,11
0.862,12.24,76.18,4,11
Query 2 - 1000 persons - probability 0.01
1.011,12.75,83.93,4,37
1.043,13.11,83.59,4,37
1.022,12.61,83.88,4,37
Query 2 - 1000 persons - probability 0.016
1.841,10.62,77.89,4,33
1.011,13.32,77.94,4,33
0.992,12.59,77.65,4,33
Query 2 - 2000 persons - probability 0.001
1.572,12.91,78.15,7,22
1.676,12.47,79.14,7,22
1.603,11.93,77.59,7,22
Query 2 - 2000 persons - probability 0.01
1.864,12.36,91.41,7,62
1.850,12.77,91.38,7,62
1.848,12.67,91.18,7,62
Query 2 - 2000 persons - probability 0.016
1.916,13.04,93.16,7,71
2.063,11.73,91.90,7,71
1.973,12.67,93.47,7,71
Query 2 - 3500 persons - probability 0.001
2.632,12.61,80.25,10,34
2.369,12.86,80.25,10,34
2.373,12.92,80.45,10,34
Query 2 - 3500 persons - probability 0.01
2.994,12.79,105.27,10,106
2.876,12.08,106.09,10,106
2.707,12.56,105.74,10,106
Query 2 - 3500 persons - probability 0.016
3.145,11.92,117.08,10,129
3.792,11.43,115.64,10,129
3.155,12.50,110.66,10,129
Query 3 - 10 persons - probability 0.001
0.118,9.96,64.20,4,4
0.114,12.06,64.21,4,4
0.118,11.44,64.48,4,4
Query 3 - 10 persons - probability 0.01
0.129,9.11,64.43,4,5
0.121,9.63,63.80,4,5
0.122,14.33,64.24,4,5
Query 3 - 10 persons - probability 0.016
0.112,10.49,64.12,4,4
0.136,8.64,64.24,4,4
0.109,8.94,64.65,4,4
Query 3 - 100 persons - probability 0.001
0.487,12.81,86.02,44,44
0.477,14.73,85.42,44,44
0.566,14.44,85.10,44,44
Query 3 - 100 persons - probability 0.01
0.461,14.37,84.01,44,45
0.493,11.08,85.27,44,45
0.449,13.92,86.48,44,45
Query 3 - 100 persons - probability 0.016
0.461,14.80,85.23,44,44
0.461,11.44,83.98,44,44
0.505,11.98,82.74,44,44
Query 3 - 500 persons - probability 0.001
1.969,11.31,132.60,217,217
2.173,11.77,131.85,217,217
1.767,11.05,134.95,217,217
Query 3 - 500 persons - probability 0.01
1.826,11.88,137.84,217,221
1.837,11.36,135.24,217,221
1.839,12.11,138.27,217,221
Query 3 - 500 persons - probability 0.016
1.775,12.88,137.35,217,220
1.881,12.97,134.09,217,220
1.779,11.30,135.49,217,220
Query 3 - 1000 persons - probability 0.001
4.151,11.99,199.02,423,423
3.668,9.80,202.78,423,423
3.677,10.41,200.71,423,423
Query 3 - 1000 persons - probability 0.01
3.577,10.98,200.23,423,428
3.598,10.75,201.06,423,428
3.620,10.68,207.75,423,428
Query 3 - 1000 persons - probability 0.016
3.687,11.45,204.52,423,431
