#Results,HTTP requests,Query execution time,CPU load,Memory usage
Query 1 - 10 persons - probability 0.0002
10,10,0.182,10.66,67.77
10,10,0.139,12.50,67.80
10,10,0.127,9.08,67.93
Query 1 - 10 persons - probability 0.25
10,10,0.137,11.23,66.10
10,10,0.126,10.91,67.71
10,10,0.137,15.58,66.57
Query 1 - 10 persons - probability 0.5
10,10,0.123,12.60,68.40
10,10,0.127,9.25,68.19
10,10,0.128,13.57,66.67
Query 1 - 100 persons - probability 0.0002
100,100,0.619,20.52,100.89
100,100,0.569,18.19,100.84
100,100,0.902,21.62,101.38
Query 1 - 100 persons - probability 0.25
100,100,0.676,20.77,101.76
100,100,0.657,20.22,101.81
100,100,0.543,17.63,100.39
Query 1 - 100 persons - probability 0.5
100,100,0.567,19.96,101.59
100,100,0.602,22.04,101.16
100,100,0.606,18.07,100.25
Query 1 - 500 persons - probability 0.0002
500,500,2.716,17.83,231.31
500,500,2.562,17.07,231.10
500,500,2.429,15.76,230.25
Query 1 - 500 persons - probability 0.25
500,500,2.605,16.56,228.71
500,500,2.470,16.84,229.73
500,500,2.642,17.22,229.05
Query 1 - 500 persons - probability 0.5
500,500,2.415,15.93,227.08
500,500,2.677,16.26,231.27
500,500,2.517,18.08,227.94
Query 1 - 1000 persons - probability 0.0002
1000,1000,6.276,15.55,403.70
1000,1000,6.180,15.39,403.19
1000,1000,6.910,14.75,401.82
Query 1 - 1000 persons - probability 0.25
1000,1000,6.183,15.16,405.26
1000,1000,6.405,14.85,403.97
1000,1000,6.258,15.29,406.70
Query 1 - 1000 persons - probability 0.5
1000,1000,6.316,14.66,402.80
1000,1000,6.457,14.67,395.65
1000,1000,6.335,14.37,400.98
Query 1 - 2000 persons - probability 0.0002
2000,2000,18.795,13.97,714.10
2000,2000,17.890,14.26,719.80
2000,2000,17.700,14.44,718.99
Query 1 - 2000 persons - probability 0.25
2000,2000,18.783,14.25,714.30
2000,2000,17.598,14.32,718.39
2000,2000,17.651,14.22,717.06
Query 1 - 2000 persons - probability 0.5
2000,2000,17.953,14.20,714.82
2000,2000,17.836,14.67,717.65
2000,2000,17.898,14.14,716.18
Query 1 - 3500 persons - probability 0.0002
3500,3500,47.388,13.51,1260.68
3500,3500,45.998,13.64,1178.74
3500,3500,45.734,13.41,1271.32
Query 1 - 3500 persons - probability 0.25
3500,3500,46.267,13.34,1230.25
3500,3500,53.827,13.31,1301.55
3500,3500,58.831,13.53,1243.08
Query 1 - 3500 persons - probability 0.5
3500,3500,58.675,13.55,1247.14
3500,3500,52.509,13.35,1304.79
3500,3500,47.834,13.49,1268.90
Query 2 - 10 persons - probability 0.0002
0,0,0.054,10.88,63.92
0,0,0.047,12.24,63.34
0,0,0.054,14.32,63.19
Query 2 - 10 persons - probability 0.25
0,2,0.106,7.36,65.11
0,2,0.082,9.60,65.37
0,2,0.101,11.63,65.26
Query 2 - 10 persons - probability 0.5
0,7,0.117,13.25,65.51
0,7,0.113,10.31,65.41
0,7,0.114,10.22,64.06
Query 2 - 100 persons - probability 0.0002
0,0,0.116,15.06,63.18
0,0,0.111,12.27,62.92
0,0,0.106,12.73,63.59
Query 2 - 100 persons - probability 0.25
0,35,0.300,13.62,76.36
0,35,0.303,15.47,75.80
0,35,0.281,17.39,75.30
Query 2 - 100 persons - probability 0.5
0,55,0.355,17.56,86.71
0,55,0.399,20.02,86.21
0,55,0.401,15.06,86.14
Query 2 - 500 persons - probability 0.0002
1,1,0.465,13.01,74.61
1,1,0.447,13.95,76.30
1,1,0.429,14.10,74.81
Query 2 - 500 persons - probability 0.25
1,179,1.289,15.75,140.91
1,179,1.209,16.29,139.83
1,179,1.223,16.93,137.52
Query 2 - 500 persons - probability 0.5
1,235,1.352,15.31,156.77
1,235,1.597,15.52,154.20
1,235,1.487,15.76,157.61
Query 2 - 1000 persons - probability 0.0002
4,6,0.901,13.65,77.00
4,6,0.781,13.27,76.25
4,6,0.972,13.45,76.84
Query 2 - 1000 persons - probability 0.25
4,349,2.291,14.05,189.49
4,349,2.003,15.60,189.99
4,349,2.206,13.19,191.45
Query 2 - 1000 persons - probability 0.5
4,491,2.704,15.67,229.45
4,491,2.575,15.40,229.12
4,491,2.742,15.25,228.38
Query 2 - 2000 persons - probability 0.0002
7,11,1.553,12.70,78.50
7,11,1.541,13.04,78.09
7,11,1.454,13.03,77.53
Query 2 - 2000 persons - probability 0.25
7,708,4.254,13.96,297.61
7,708,3.951,14.98,295.30
7,708,4.529,14.27,295.02
Query 2 - 2000 persons - probability 0.5
7,1008,5.002,13.31,413.80
7,1008,5.148,14.19,405.84
7,1008,5.247,14.14,405.55
Query 2 - 3500 persons - probability 0.0002
10,14,2.489,12.94,79.35
10,14,2.343,12.76,79.61
10,14,2.493,12.54,79.55
Query 2 - 3500 persons - probability 0.25
10,1207,6.527,15.74,426.78
10,1207,6.643,14.93,453.36
10,1207,6.498,14.58,471.62
Query 2 - 3500 persons - probability 0.5
10,1741,9.744,15.33,647.37
10,1741,8.574,15.31,651.27
10,1741,8.765,16.51,648.50
Query 3 - 10 persons - probability 0.0002
4,4,0.095,10.16,65.11
4,4,0.101,11.52,65.40
4,4,0.110,12.39,65.40
Query 3 - 10 persons - probability 0.25
4,5,0.109,12.39,65.18
4,5,0.133,11.75,65.50
4,5,0.111,8.78,62.87
Query 3 - 10 persons - probability 0.5
4,5,0.107,10.88,65.35
4,5,0.105,16.63,65.51
4,5,0.101,7.55,65.34
Query 3 - 100 persons - probability 0.0002
44,44,0.373,16.18,84.02
44,44,0.519,14.23,86.68
44,44,0.365,17.08,84.19
Query 3 - 100 persons - probability 0.25
44,49,0.455,15.03,86.25
44,49,0.387,13.60,86.16
44,49,0.530,17.69,86.28
Query 3 - 100 persons - probability 0.5
44,72,0.465,19.73,94.61
44,72,0.468,20.42,94.96
44,72,0.498,16.47,95.89
Query 3 - 500 persons - probability 0.0002
217,217,1.268,16.62,131.22
217,217,1.317,15.42,130.41
217,217,1.372,16.21,129.29
Query 3 - 500 persons - probability 0.25
217,269,1.459,16.32,145.28
217,269,1.634,15.66,146.32
217,269,1.555,16.07,143.55
Query 3 - 500 persons - probability 0.5
217,358,2.451,15.38,195.65
217,358,1.817,15.80,197.23
217,358,1.889,14.88,197.59
Query 3 - 1000 persons - probability 0.0002
423,424,2.525,14.07,192.04
423,424,2.486,14.84,193.09
423,424,2.540,15.68,191.95
Query 3 - 1000 persons - probability 0.25
423,518,2.859,15.03,220.86
423,518,2.817,16.15,221.19
423,518,2.952,15.95,222.43
Query 3 - 1000 persons - probability 0.5
423,711,3.754,16.39,300.01
423,711,3.797,14.71,294.20
423,711,3.733,14.91,305.36
Query 3 - 2000 persons - probability 0.0002
853,854,5.854,15.01,324.77
853,854,6.243,13.95,322.45
853,854,5.749,15.76,325.29
Query 3 - 2000 persons - probability 0.25
