Query execution time,CPU load,Memory usage,#Results,HTTP requests
Query 1 - 10 persons
0.152,10.15,68.20,10,10
0.133,10.24,68.02,10,10
0.153,8.91,68.40,10,10
Query 1 - 100 persons
0.808,13.04,108.39,100,100
1.185,11.70,106.72,100,100
0.808,9.64,106.05,100,100
Query 1 - 500 persons
3.783,10.27,260.08,500,500
4.340,12.24,257.70,500,500
3.465,9.86,257.88,500,500
Query 1 - 1000 persons
7.838,11.31,408.60,1000,1000
7.860,10.88,392.98,1000,1000
7.360,11.62,385.50,1000,1000
Query 1 - 2000 persons
26.541,10.71,821.96,2000,2000
21.638,11.38,822.31,2000,2000
21.152,11.60,825.34,2000,2000
Query 1 - 3500 persons
51.553,11.87,1313.74,3500,3500
50.558,11.86,1359.98,3500,3500
50.299,12.05,1213.27,3500,3500
Query 2 - 10 persons
0.130,10.31,67.69,0,10
0.125,12.30,66.61,0,10
0.121,16.12,68.36,0,10
Query 2 - 100 persons
0.662,12.69,101.50,0,100
0.646,14.47,107.25,0,100
0.724,12.66,102.32,0,100
Query 2 - 500 persons
2.630,10.55,252.70,1,500
2.666,11.57,260.38,1,500
2.692,10.44,257.59,1,500
Query 2 - 1000 persons
5.412,9.89,420.53,4,1000
5.086,10.87,428.40,4,1000
5.731,10.19,429.11,4,1000
Query 2 - 2000 persons
10.582,10.15,814.32,7,2000
10.530,11.13,833.17,7,2000
10.502,10.41,812.76,7,2000
Query 2 - 3500 persons
22.603,10.90,1357.67,10,3500
20.492,10.77,1341.41,10,3500
20.888,10.76,1376.77,10,3500
Query 3 - 10 persons
0.191,11.20,66.67,4,10
0.132,10.24,67.65,4,10
0.127,7.78,67.68,4,10
Query 3 - 100 persons
0.671,13.10,104.44,44,100
0.773,13.13,105.69,44,100
0.663,12.63,106.30,44,100
Query 3 - 500 persons
3.143,9.94,260.86,217,500
3.128,10.49,260.48,217,500
2.846,9.81,260.19,217,500
Query 3 - 1000 persons
6.068,10.52,404.00,423,1000
6.081,10.28,426.26,423,1000
5.947,11.00,426.37,423,1000
Query 3 - 2000 persons
16.232,11.17,825.34,853,2000
17.789,10.69,834.61,853,2000
15.610,10.96,817.90,853,2000
Query 3 - 3500 persons
34.867,10.88,1287.42,1433,3500
32.215,11.48,1283.19,1433,3500
32.545,11.71,1265.36,1433,3500
Query 4 - 10 persons
0.140,8.39,67.87,1,10
0.126,9.15,66.48,1,10
0.122,11.17,67.97,1,10
Query 4 - 100 persons
0.690,14.42,100.59,8,100
0.654,12.84,100.98,8,100
0.649,13.23,101.75,8,100
Query 4 - 500 persons
2.845,12.63,258.10,50,500
2.635,10.45,258.09,50,500
2.663,9.90,259.09,50,500
Query 4 - 1000 persons
5.405,11.63,416.21,91,1000
5.271,10.30,423.32,91,1000
5.331,11.14,387.29,91,1000
Query 4 - 2000 persons
11.316,10.72,814.82,177,2000
12.113,10.06,817.71,177,2000
11.498,10.41,817.84,177,2000
Query 4 - 3500 persons
22.899,11.14,1378.86,293,3500
23.178,11.25,1290.74,293,3500
23.134,10.82,1379.95,293,3500
Query 5 - 10 persons
0.131,10.42,69.48,0,10
0.165,11.74,69.84,0,10
0.111,12.17,67.75,0,10
Query 5 - 100 persons
0.659,17.19,104.06,0,100
0.487,20.07,101.52,0,100
0.492,16.25,98.44,0,100
Query 5 - 500 persons
8.560,9.99,623.81,1,1500
7.782,10.79,467.67,1,1500
6.938,10.84,572.46,1,1500
Query 5 - 1000 persons
26.261,11.41,2164.43,4,6000
26.162,11.51,2165.84,4,6000
26.507,10.85,2168.38,4,6000
Query 5 - 2000 persons
70.604,14.08,2036.84,7,18000
75.783,14.12,2033.99,7,18000
67.069,14.07,2033.38,7,18000
Query 5 - 3500 persons
186.089,15.12,2417.15,10,42000
189.044,14.91,2414.24,10,42000
187.198,14.87,2418.08,10,42000
Query 6 - 10 persons
0.129,13.57,68.25,0,10
0.138,11.23,69.26,0,10
0.165,9.47,69.37,0,10
Query 6 - 100 persons
0.801,13.40,110.32,1,100
0.862,12.46,110.38,1,100
0.843,14.61,107.35,1,100
Query 6 - 500 persons
22.602,12.40,432.79,7,6000
23.359,13.04,540.49,7,6000
20.922,12.61,490.44,7,6000
Query 6 - 1000 persons
87.720,12.96,1367.75,14,24000
86.811,13.16,1095.00,14,24000
85.693,13.06,1420.36,14,24000
Query 6 - 2000 persons
TIMEOUT
TIMEOUT
TIMEOUT
Query 6 - 3500 persons
TIMEOUT
TIMEOUT
TIMEOUT
Query 7 - 10 persons
0.181,12.77,67.48,0,10
0.146,10.54,67.74,0,10
0.134,13.06,67.65,0,10
Query 7 - 100 persons
0.789,13.10,100.80,1,100
0.802,11.92,111.44,1,100
0.866,11.97,112.99,1,100
Query 7 - 500 persons
23.650,12.23,583.59,3,6000
21.400,12.73,486.30,3,6000
22.153,12.48,519.80,3,6000
Query 7 - 1000 persons
88.698,12.79,1372.78,7,24000
86.699,12.61,1389.63,7,24000
87.298,12.69,1367.66,7,24000
Query 7 - 2000 persons
TIMEOUT
TIMEOUT
TIMEOUT
Query 7 - 3500 persons
TIMEOUT
TIMEOUT
TIMEOUT
Query 8 - 10 persons
0.185,11.49,67.53,1,10
0.178,9.78,67.77,1,10
0.165,9.41,67.92,1,10
Query 8 - 100 persons
0.974,11.42,110.86,1,100
0.788,13.39,108.06,1,100
0.783,11.45,109.29,1,100
Query 8 - 500 persons
7.767,10.96,605.36,1,1500
7.825,11.06,624.74,1,1500
8.295,11.54,608.86,1,1500
Query 8 - 1000 persons
15.003,11.13,732.04,1,3000
14.325,10.70,733.79,1,3000
14.538,10.99,728.15,1,3000
Query 8 - 2000 persons
30.621,9.55,2288.54,1,6000
28.763,10.69,2293.59,1,6000
29.136,10.42,1452.99,1,6000
Query 8 - 3500 persons
53.749,11.04,3076.00,1,10500
54.668,10.88,2940.86,1,10500
53.719,10.67,2744.17,1,10500
Query 9 - 10 persons
0.182,9.62,68.72,12,10
0.180,12.91,68.56,12,10
0.159,11.02,68.69,12,10
Query 9 - 100 persons
0.805,13.07,107.84,12,100
0.839,12.78,107.25,12,100
0.877,12.69,109.56,12,100
Query 9 - 500 persons
7.879,11.18,578.94,12,1500
7.693,10.36,609.93,12,1500
7.781,11.07,430.37,12,1500
Query 9 - 1000 persons
15.796,10.45,732.81,12,3000
14.461,10.87,733.09,12,3000
15.043,10.79,734.84,12,3000
Query 9 - 2000 persons
29.889,11.27,1565.47,12,6000
29.170,10.99,1398.38,12,6000
29.629,10.97,1401.27,12,6000
Query 9 - 3500 persons
53.651,11.04,3076.33,12,10500
53.562,10.99,2956.98,12,10500
54.195,11.50,2929.78,12,10500
Query 10 - 10 persons
0.203,8.64,67.92,0,10
0.146,11.99,68.21,0,10
0.157,8.68,68.13,0,10
Query 10 - 100 persons
0.772,12.89,107.07,0,100
0.745,11.54,108.16,0,100
0.740,11.61,107.81,0,100
Query 10 - 500 persons
8.008,11.46,578.03,25,1500
7.807,11.58,474.41,25,1500
7.683,11.16,623.02,25,1500
Query 10 - 1000 persons
28.899,10.45,2178.18,38,6000
27.129,10.62,2202.68,38,6000
30.915,11.09,2172.01,38,6000
Query 10 - 2000 persons
87.315,13.62,2033.80,76,18000
95.728,13.61,2032.97,76,18000
80.035,13.98,2033.35,76,18000
Query 10 - 3500 persons
221.344,14.81,2429.47,115,42000
204.010,16.02,2428.96,115,42000
194.965,15.87,2403.69,115,42000
Query 11 - 10 persons
0.115,13.47,70.04,0,10
0.225,10.30,69.82,0,10
0.168,12.65,69.54,0,10
Query 11 - 100 persons
0.503,17.87,99.22,0,100
0.494,19.76,102.02,0,100
0.497,19.23,98.09,0,100
Query 11 - 500 persons
16.025,9.91,792.72,1,3000
14.530,10.39,794.17,1,3000
14.201,10.74,790.54,1,3000
Query 11 - 1000 persons
48.190,14.35,1463.21,4,15000
48.102,15.40,1240.94,4,15000
49.436,15.14,1264.51,4,15000
Query 11 - 2000 persons
178.676,17.34,3023.31,7,48000
176.867,16.99,3035.32,7,48000
165.430,16.74,3027.14,7,48000
Query 11 - 3500 persons
HEAP OUT OF MEMORY
HEAP OUT OF MEMORY
HEAP OUT OF MEMORY
Query 12 - 10 persons
0.177,9.90,68.84,0,10
0.124,10.90,69.31,0,10
0.113,6.91,67.23,0,10
Query 12 - 100 persons
0.931,14.69,108.99,0,100
0.684,11.70,108.63,0,100
0.702,13.32,111.29,0,100
Query 12 - 500 persons
25.676,12.60,603.25,1,6000
20.487,13.18,531.52,1,6000
19.966,13.75,533.90,1,6000
Query 12 - 1000 persons
84.896,13.17,1367.93,2,24000
82.035,12.77,1096.85,2,24000
81.351,12.92,1370.76,2,24000
Query 12 - 2000 persons
TIMEOUT
TIMEOUT
TIMEOUT
Query 12 - 3500 persons
TIMEOUT
TIMEOUT
TIMEOUT
Query 13 - 10 persons
0.288,10.12,75.50,1,20
0.222,12.28,75.75,1,20
0.206,9.53,75.58,1,20
Query 13 - 100 persons
5.119,13.16,213.64,1,1188
4.300,13.71,228.62,1,1188
3.949,14.05,235.21,1,1188
Query 13 - 500 persons
16.119,13.41,917.41,1,5400
16.018,13.46,1080.84,1,5400
16.829,12.87,928.40,1,5400
Query 13 - 1000 persons
29.506,12.94,1502.21,1,10158
30.423,12.69,1234.56,1,10158
29.440,13.31,1163.87,1,10158
Query 13 - 2000 persons
57.890,13.53,2821.51,1,18252
57.958,13.29,2112.96,1,18252
57.761,13.26,2093.09,1,18252
Query 13 - 3500 persons
104.558,15.00,3541.18,1,28446
105.292,14.96,3537.34,1,28446
102.534,14.74,3533.19,1,28446
Query 14 - 10 persons
